ADM_DR_NM,Price,long,lat,mid_tot_stu,mid_rate,high_tot_stu,high_rate,동별인구,mid_ent_stu,priv_rate,spec_rate,elite,univ_rate,mid-exist,high-exist,meanYR,harm500,high_dist,midd_dist,low_eld,subway,elevation,meanFL,store,Fldummy
사직동,1327.844634,197383.0947,452705.2376,403,4.35,518,5.59,9273,141,19.6,7.9,27.5,49.5,1,1,18.58536585,27.27,563.4487958,537.7792541,12.23021583,392.2128,63.44599845,8.097560976,735.133565,0
평창동,786.6092857,197185.8384,457344.3675,0.0001,0.0001,0.0001,0.0001,17578,0.0001,0.0001,0.0001,8.4,47.4,0.0001,0.0001,22.5,0,1409.338782,1986.693939,11.27098321,3016.9507,300.0512378,5.214285714,2178.523056,0
무악동,1444.425652,196341.7186,453063.2721,0.0001,0.0001,0.0001,0.0001,7991,0.0001,0.0001,0.0001,16.3,48.5,0.0001,0.0001,16,0,284.9227449,311.7565542,25.91743119,242.2151,148.3073171,8.02173913,171.7598994,0
교남동,2242.193529,196830.1457,452392.0708,289,2.92,388,3.92,9889,106,12.7,3.6,16.3,48.5,1,1,7.352941176,100,400.3757433,232.889497,25.47660312,458.9161,78.52083333,10.76470588,704.065059,0
종로1·2·3·4가동,939.7454167,199104.3056,452848.8387,0.0001,0.0001,0.0001,0.0001,8492,0.0001,0.0001,0.0001,4.8,51.8,0.0001,0.0001,19.125,3.92,925.5968881,749.5759573,30.02014775,289.2964,50.21431234,7.75,263.8864069,0
종로5·6가동,950.4611111,200388.6027,452590.4537,0.0001,0.0001,0.0001,0.0001,5899,0.0001,0.0001,0.0001,15.5,52.7,0.0001,0.0001,8.444444444,42.86,1170.522674,426.3267443,25.48701299,418.9058,39.21661721,10,467.7434857,0
이화동,996.15,200266.987,453352.1216,362,4.84,0.0001,0.0001,7480,97,9.2,6.3,15.5,52.7,1,0.0001,11.5,0,947.0761822,324.8383022,27.78702163,490.5447,41.77152698,7.666666667,516.2667236,0
창신1동,1364.624,201219.3468,452536.4797,0.0001,0.0001,0.0001,0.0001,5331,0.0001,0.0001,0.0001,5.5,38.6,0.0001,0.0001,30.6,0,987.4191571,897.8753344,33.33333333,205.0096,50.98203593,7.2,181.9329754,0
창신2동,668.35,200899.8451,452942.3881,0.0001,0.0001,0.0001,0.0001,8648,0.0001,0.0001,0.0001,15.5,38.6,0.0001,0.0001,21,0,560.7423597,488.4884804,29.12723449,521.3108,76.271777,1,442.4319097,0
창신3동,1016.092667,201167.9288,453267.1398,0.0001,0.0001,0.0001,0.0001,6520,0.0001,0.0001,0.0001,5.5,38.6,0.0001,0.0001,29.66666667,0,321.7663903,274.1196916,23.76237624,210.9578,82.03829787,7.866666667,370.6400246,0
숭인1동,1135.02,201492.056,453070.6215,0.0001,0.0001,0.0001,0.0001,6114,0.0001,0.0001,0.0001,5.5,38.6,0.0001,0.0001,17,0,657.7139019,654.7701527,26.34408602,90.0613,55.45955882,9.375,125.4561643,0
