ADM_DR_NM,meanYR,elite,univ_rate,high_dist,low_eld,subway
사직동,-23.18834986,14.67243986,35.70871741,0.400617882,-14.7547896,-0.165076163
평창동,27.89479572,23.90646546,9.693606709,0.399371329,-5.123448364,-0.31375086
무악동,-2.283201851,22.61085656,10.99388264,0.203000904,11.46712138,0.000836315
교남동,-13.04547541,34.83836044,11.65485543,0.324156028,9.61309073,0.00482177
종로1·2·3·4가동,17.68483403,18.34093544,7.642739286,0.299540356,3.391212019,-0.101029549
종로5·6가동,10.08635152,8.552433541,15.42927889,-0.161613911,7.477827817,-0.109346817
이화동,25.95131851,9.400408351,4.377698327,0.349629476,-5.239405814,0.411793007
창신1동,15.36742126,-0.459231524,12.55260383,0.372693435,2.030804924,-0.210149302
창신2동,8.267869795,-4.634139016,12.27233186,0.228517884,9.909845198,-0.212362425
창신3동,8.45945602,9.947915213,16.45108348,0.053883934,1.701076671,-0.248414811
숭인1동,9.206104226,-1.790857768,9.807275237,0.505051618,6.717638852,0.023847392
숭인2동,1.799262701,-1.160248778,13.48798244,0.328992672,7.05002371,-0.142381294
청운효자동,23.80301388,22.28812908,12.29159364,0.043860648,1.69516648,-0.204265437
혜화동,-6.260021994,7.345863572,27.25458178,-0.215274027,-9.17064439,0.0929117
소공동,-19.79744137,-13.27586959,40.16826074,0.143772674,-5.622433964,-0.120389458
회현동,-10.1338463,10.33634384,25.73573668,0.167445171,-4.009977397,0.547670411
필동,-8.61992983,21.06458237,17.88290542,-0.008762119,-0.313301671,0.598348868
장충동,6.941771981,20.45402886,14.39348375,0.152244936,-4.459238483,0.513688015
광희동,15.21887188,9.066873261,5.719721721,-0.059860442,17.87902908,0.096238211
을지로동,-2.962552452,13.79070984,18.442651,0.130494786,2.348522019,0.228366299
황학동,11.39944391,10.18488473,6.468803298,0.27209872,2.276704077,0.695906468
중림동,-19.23267321,9.580956019,23.68484643,0.240665696,5.993680619,0.226831585
신당동,34.55681711,9.466054963,1.26572961,-0.08304146,6.481255741,0.986668611
약수동,24.68178198,27.65764369,9.347392537,0.210436079,-5.191030556,0.756164876
청구동,22.11552757,11.47767305,9.304886591,0.184151082,2.917195421,0.361227014
동화동,-0.895624846,3.324059294,27.66723906,-0.079348068,-6.929569451,0.909142018
후암동,-23.44616661,-3.562938569,27.95515277,0.642871507,-3.127998172,0.387855477
용산2가동,-34.24644067,-20.75433435,29.544158,0.952260761,-13.22875195,1.283793601
남영동,-18.23193984,6.215406532,35.09820907,0.473052413,-8.142079979,-0.10318236
원효로2동,1.994691149,4.640570972,23.4804788,0.500664215,-1.537462625,0.063080758
효창동,-2.022583529,16.66811206,23.98773691,0.707954222,-10.09634233,0.214342398
용문동,-7.795590402,10.08995897,29.64039756,0.37864245,-10.19052731,0.405607213
이촌1동,-2.550848458,25.28586806,27.93761607,0.562945314,-15.83906307,0.465565276
이촌2동,2.552489771,13.68916551,33.07447456,0.356024424,-24.28327621,0.496632182
이태원1동,9.715099578,25.66140411,40.18516059,-0.208144286,-16.53197154,0.012133862
이태원2동,-4.254580788,6.739921283,27.44467104,0.471902931,-21.77942525,0.911656631
서빙고동,31.06925925,13.28966735,22.82208766,0.350592645,0.539854858,-0.41812964
보광동,-2.585375411,17.50165841,42.68692936,0.011094532,-29.99070409,0.597128624
청파동,-21.59463176,0.936165421,30.23595124,0.234235732,-4.204949311,0.624349518
원효로1동,0.48837653,9.390052173,25.43587043,0.734425272,-6.217797447,-0.073443735
한강로동,-18.75140461,10.94557488,45.9094718,0.189899039,-21.57454649,0.569360567
한남동,6.151408484,30.98500888,37.37116619,0.007675589,-29.56307535,0.635313355
왕십리2동,16.50891931,6.373565288,2.889585744,-0.012818475,9.284151926,1.425553557
마장동,23.98955828,18.32574987,16.12484978,-0.33968579,-7.099933022,0.649810843
사근동,20.58665594,6.621850168,10.60349767,-0.29764662,12.99066956,0.524750197
행당1동,9.739515351,3.923318186,34.75125859,-0.399114005,-12.85195562,0.791769585
행당2동,5.052852335,12.48758054,27.30034701,-0.39132505,-0.114593743,0.429729022
응봉동,8.465293128,5.85347345,8.476548732,0.551654691,4.628619866,0.980717949
금호1가동,2.836455024,12.38044978,18.37263229,0.573806704,8.949275702,0.016575182
금호4가동,17.70212825,4.655955793,28.6899036,0.457172029,-3.273441085,-0.020916137
성수1가1동,25.93166368,25.58549308,2.355833567,-0.24263888,-4.77763804,2.455018345
성수1가2동,33.94481176,23.52775271,-3.424692623,-0.19254353,8.408466038,1.614300918
성수2가1동,30.3620109,13.23717337,13.67732064,-0.359912801,-22.99289339,2.605506875
성수2가3동,38.64533699,17.38884661,3.185777726,-0.547011959,-8.801876506,2.408961294
송정동,29.60003808,8.775404984,17.42506554,-0.162375794,-19.22592602,1.109457186
용답동,6.089659568,6.169134065,15.13295223,-0.331022563,14.78137714,-0.015298143
왕십리도선동,37.86340278,8.149183942,19.18409659,-0.288500773,-23.1556135,1.779923638
금호2·3가동,20.1379517,4.324361988,21.2257353,0.377657277,3.771641949,0.153611585
옥수동,30.78318091,7.843461955,12.81000335,0.380612776,-7.414234019,1.137863889
화양동,15.29251428,10.99197761,13.38870951,-0.25091665,2.877212696,0.659052064
군자동,17.19095981,4.422722933,21.04999066,-0.27023947,-3.858471656,0.373789984
중곡2동,-6.425673591,-2.465831949,13.94391422,0.236955841,1.268026428,0.61214866
중곡3동,-12.17421659,1.930664374,21.1453678,0.104601347,-4.068741622,0.339477887
중곡4동,-17.69187549,-2.153485573,20.49141677,0.263845121,-2.517536066,0.553293535
능동,-2.907129109,-3.421133049,22.63351861,0.287186509,-3.822041879,0.091179754
구의1동,2.868232156,11.15040588,18.66745528,-0.043903925,-9.515324271,1.292153269
구의2동,-7.431485755,-2.35078574,21.51687673,0.435005819,-15.65947088,1.102816193
구의3동,-1.521083673,12.52367735,24.74390259,0.102321741,-13.658371,0.831955716
광장동,9.066376158,3.871002942,19.33620057,0.068031776,-9.472665769,0.877951605
자양1동,16.78244162,0.318268567,15.9503404,-0.205156827,11.03870692,0.196636084
자양2동,6.455057437,12.34416673,17.93451939,-0.013469775,-0.689983137,0.800445378
자양3동,23.07637405,7.413748181,22.55546369,0.107868556,-14.8259185,0.89758328
자양4동,26.36385302,5.73181975,19.52097447,0.118356948,-12.26573892,0.901317654
회기동,7.160520955,15.61925469,32.10798065,0.285090732,-17.31864677,-0.641228362
휘경1동,-4.915616311,10.44234963,10.47752919,0.354151399,3.159320581,0.085934489
휘경2동,7.640337112,19.63314405,21.02926592,0.021941877,-5.552822584,-0.191542387
청량리동,-6.028771738,8.28804126,19.61214861,0.346097827,-5.911539946,0.011654128
용신동,3.715557652,9.907716793,8.271548479,0.422329616,2.903581675,0.154108192
제기동,-3.565956462,7.195040768,9.979844736,0.284738905,6.534544001,0.067808533
전농1동,0.463097848,10.74694541,11.63866909,0.285382834,5.143824255,0.009134407
전농2동,1.122618078,26.1399094,15.51563859,0.193031485,-1.56052118,-0.071107268
답십리2동,11.03095685,5.714032621,16.00970656,0.037468027,6.317652147,-0.238026278
장안1동,8.284410207,4.347522694,12.17491738,-0.270845069,13.71322399,-0.054359693
장안2동,1.117878821,10.95630284,7.276579299,0.024713677,11.49933288,0.118290824
이문1동,-10.13982662,16.23823593,8.368512011,0.314200686,8.327279501,0.049935551
이문2동,-1.676975,18.88524305,7.234840506,0.172070847,6.819119944,0.085029074
답십리1동,5.243452629,3.873381809,18.43140563,-0.284771466,17.9744397,-0.278400248
면목2동,-7.70142454,7.0256182,15.81979138,0.325113907,0.517400736,0.004542295
면목4동,-3.639599074,3.593757301,13.97824938,0.208180788,-0.061041846,0.245959752
면목5동,-17.82441389,3.647600424,7.580028844,0.741248227,-1.655492429,0.55501006
면목7동,-2.138497928,2.754831487,12.98960618,0.327298941,-1.785450373,0.327510758
상봉1동,-3.398957846,16.16406942,15.70119705,0.276472867,0.774112141,-0.187438261
상봉2동,-4.023562657,5.368011485,17.40235371,0.193210672,0.47415663,-0.100375805
중화1동,7.258273548,15.48846204,14.70827032,0.152202695,-1.061916989,-0.169420297
중화2동,0.106956398,4.86085861,14.73184755,0.176545231,0.835983019,-0.023496798
묵1동,0.219832617,16.65751924,14.48649378,-0.072491554,1.786870152,-0.019404185
묵2동,1.895441702,19.66612197,13.82685237,0.050866096,-1.947472661,0.054007305
망우3동,-4.692774588,6.456496156,12.07536751,0.345144852,2.889859162,-0.036787004
신내1동,-0.205557479,7.05829895,13.3440912,0.21356966,1.821529164,-0.081233309
신내2동,0.25014012,17.66056923,15.35991588,0.064434087,1.714047493,-0.174270614
면목본동,-6.940257495,0.936714502,7.18786102,0.610926019,4.018846348,0.151406967
망우본동,-2.471452169,4.982217924,13.29621312,0.320192916,2.389961335,-0.121653964
돈암1동,-6.381986532,5.588733379,20.07841019,0.067847153,1.55607282,-0.108390134
돈암2동,-5.100940958,9.879258604,20.62309222,0.395465388,-4.432154359,-0.202894077
안암동,-15.59165412,1.045323019,21.72132975,0.317011936,-4.924778037,0.403408536
보문동,-1.113144242,0.905475011,16.19843442,0.35457972,-0.871081642,0.208032735
정릉1동,-16.03793689,2.347097443,18.35348636,0.311280059,5.970761294,-0.138845264
정릉2동,-12.59877744,2.280628739,22.95723515,0.237507756,-0.347947273,-0.134267869
정릉3동,-16.5854329,3.400036169,18.77717935,0.215017896,6.110892055,-0.141692707
정릉4동,-16.9007787,7.105790806,18.62595264,0.220458927,7.200515574,-0.193593455
길음1동,-7.752544282,3.375073425,15.29493979,0.064387695,9.394189025,-0.129701987
길음2동,-3.262170682,15.21230755,20.10300007,0.273995412,-9.356829093,0.078790536
월곡1동,-3.055763058,8.201092739,15.94918336,-0.003205225,0.616052634,0.260970633
